,0
% Student Enrollment - White,23.796635196497988
% Student Enrollment - Black or African American,28.424997549900365
% Student Enrollment - Hispanic or Latino,35.62570971219497
% Student Enrollment - Asian,8.347433928979779
% Student Enrollment - Low Income,53.77995491816667
Student Attendance Rate,92.80031034595406
High School Dropout Rate - Total,1.9775799549181665
High School 4-Year Graduation Rate - Total,92.46871712782986
% Graduates enrolled in a Postsecondary Institution within 12 months,86.0271405703832
Cluster Position,1.0
