,School Name,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Low Income,Student Attendance Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,% Graduates enrolled in a Postsecondary Institution within 12 months,Cluster Position,# Student Enrollment
1125,Amundsen High School             ,11.6,12.1,58.3,15.1,92.8,90.5,3.2,81.1,55.1,2,1157
1126,Bogan High School                ,2.5,50.0,46.5,0.1,92.4,88.3,4.4,80.5,55.6,1,1081
1127,Carver Military Academy HS       ,0.4,45.2,53.8,0.0,95.4,94.2,0.0,98.1,61.1,1,502
1128,Crane Technical Prep High School ,0.0,90.5,6.3,0.0,93.7,85.3,8.4,80.6,37.2,0,95
1129,Farragut Career Academy HS       ,0.5,17.9,81.2,0.0,98.8,87.7,6.9,73.6,38.3,2,1119
1130,Fenger Academy High School       ,0.0,98.6,0.8,0.0,97.0,83.5,13.1,54.3,46.3,0,498
1131,Foreman High School              ,4.8,16.7,76.8,0.9,96.2,88.4,2.8,64.0,52.6,2,1381
1132,Back of The Yards IB HS          ,2.0,4.4,87.4,6.0,98.7,96.6,0.4,0.0,0.0,2,549
1133,Gage Park High School            ,0.8,53.0,45.4,0.2,97.9,85.0,13.1,57.5,33.0,1,659
1134,Harlan Community Academy HS      ,0.0,98.3,0.9,0.1,93.9,79.7,6.4,58.2,55.0,0,924
1135,Harper High School               ,0.2,96.0,3.6,0.0,98.0,85.0,14.3,63.0,39.8,0,502
1136,Hirsch Metropolitan High School  ,0.8,98.2,0.0,0.0,96.4,74.3,18.9,40.9,29.7,0,387
1137,Hubbard High School              ,3.2,5.5,88.4,2.3,97.6,91.9,2.3,84.7,64.2,2,1807
1138,Hyde Park Academy High School    ,0.0,98.7,0.9,0.0,97.0,83.2,5.7,70.2,58.7,0,1084
1139,Kelly High School                ,2.0,2.2,81.7,13.9,96.9,91.5,3.7,78.6,55.9,2,2300
1140,Kelvyn Park High School          ,2.0,7.1,89.8,0.3,95.7,81.6,7.1,64.8,49.5,2,959
1141,Kennedy High School              ,26.0,4.8,67.4,0.8,85.4,88.7,4.7,67.6,65.6,2,1599
1142,Kenwood Academy High School      ,2.4,87.3,4.2,3.3,73.8,91.7,1.0,86.6,77.7,0,1792
1143,Lake View High School            ,11.7,13.2,66.8,5.3,88.7,89.7,2.6,88.7,72.7,2,1349
1144,Lane Technical High School       ,33.4,8.7,44.2,10.4,59.4,94.2,0.2,96.3,87.4,1,3995
1145,Marshall Metropolitan High School,0.0,98.1,1.6,0.0,91.3,85.9,12.4,59.0,33.6,0,736
1146,Mather High School               ,20.9,13.1,37.2,26.0,90.2,90.8,1.7,77.5,66.1,1,1716
1147,Morgan Park High School          ,3.4,94.4,1.3,0.1,85.2,85.7,2.5,78.5,74.0,0,1519
1148,Phillips Academy High School     ,0.3,97.6,0.8,0.9,95.4,75.6,7.6,63.4,51.3,0,785
1149,Roosevelt High School            ,5.5,12.3,74.9,6.0,96.5,86.9,2.8,74.8,47.2,2,1445
1150,Schurz High School               ,6.0,10.1,80.7,1.6,93.5,86.4,3.5,76.5,53.1,2,2510
1151,Senn High School                 ,10.7,29.1,43.2,13.3,88.6,92.2,2.9,71.0,58.9,1,1403
1152,King College Prep High School    ,0.3,94.3,2.9,1.3,80.6,92.8,0.1,95.1,93.3,0,697
1154,Steinmetz College Prep HS        ,10.2,14.4,72.2,1.9,93.0,88.3,2.4,75.8,55.7,2,1865
1155,Sullivan High School             ,4.7,44.0,35.7,13.1,94.8,89.4,7.7,66.7,55.9,1,659
1156,Taft High School                 ,49.0,2.1,38.6,7.6,62.5,91.0,1.5,83.6,68.9,1,3342
1157,Tilden Career Communty Academy HS,11.4,55.2,27.3,3.7,96.7,81.0,11.0,60.1,42.9,1,429
1158,Von Steuben Metro Science HS     ,18.1,11.8,54.4,13.4,79.3,93.2,0.1,93.8,81.3,1,1664
1159,Lincoln Park High School         ,28.0,23.1,34.7,9.8,59.9,90.1,0.9,89.9,80.8,1,2292
1160,Washington  G High School        ,5.9,7.8,85.3,0.1,92.8,86.7,1.7,75.6,51.5,2,1494
1161,Wells Community Academy HS       ,2.9,55.3,40.8,0.5,94.8,89.0,3.9,65.1,47.5,1,617
1163,Crane Medical Prep HS            ,0.6,70.9,27.0,1.2,89.4,93.2,0.3,0.0,0.0,0,330
1164,Disney II Magnet HS              ,22.7,21.2,49.2,3.3,66.3,91.9,0.4,0.0,0.0,1,490
1180,Chicago Vocational Career Acad HS,0.1,98.6,0.7,0.0,96.8,86.5,3.6,72.9,60.8,0,1005
1181,Dunbar Vocational Career Acad HS ,0.2,98.1,0.9,0.1,99.1,80.7,3.9,95.0,64.9,0,987
1182,Jones College Prep High School   ,35.8,19.3,30.2,10.9,44.9,93.8,0.2,98.0,90.7,1,1381
1183,Prosser Career Academy HS        ,3.7,20.8,73.9,0.4,95.2,88.3,1.4,93.4,70.4,2,1451
1184,Richards Career Academy HS       ,1.2,38.4,59.5,0.2,98.6,84.5,6.7,69.0,31.2,2,432
1185,Simeon Career Academy High School,0.1,98.1,0.6,0.0,93.1,90.0,0.1,95.1,75.9,0,1369
1186,Corliss High School              ,0.2,97.6,1.9,0.0,94.6,80.3,6.7,62.8,51.4,0,535
1187,Clemente Community Academy HS    ,2.7,23.9,72.0,0.0,96.0,82.0,5.1,82.5,42.4,2,825
1188,Manley Career Academy High School,0.0,96.4,2.9,0.0,93.0,85.3,17.0,43.6,40.0,0,616
1189,Curie Metropolitan High School   ,2.5,12.4,81.3,3.0,94.9,87.7,2.0,84.5,68.7,2,3128
1190,Julian High School               ,0.0,99.2,0.4,0.0,95.3,79.2,3.7,85.0,58.2,0,892
1191,Young Magnet High School         ,29.9,23.3,27.2,15.5,41.1,94.4,0.1,98.7,87.2,1,2110
1192,Robeson High School              ,0.0,98.8,0.7,0.0,97.9,80.2,21.4,41.1,40.3,0,569
1193,Juarez Community Academy HS      ,0.9,2.7,94.4,0.8,96.6,89.4,2.3,80.9,55.3,2,1701
1194,Chicago HS for Agricult Sciences ,34.7,39.9,22.0,0.2,51.7,93.6,1.0,91.3,78.9,1,617
1195,Hancock College Preparatory HS   ,2.0,1.4,94.7,0.6,96.7,90.2,1.8,86.4,67.3,2,947
1196,Brooks College Prep Academy HS   ,0.5,83.1,14.7,0.1,76.1,92.1,0.3,97.7,88.7,0,757
1197,Northside College Preparatory Hs ,37.8,8.3,27.2,17.4,41.7,94.4,0.1,99.6,87.6,1,1028
1198,Chicago Military Academy HS      ,1.5,75.9,21.3,0.0,94.9,89.9,0.0,100.0,60.4,0,395
1199,Payton College Preparatory HS    ,43.2,15.8,22.4,12.8,33.6,92.9,0.2,93.4,88.1,1,874
1200,Dyett High School                ,0.0,97.1,0.0,0.0,94.3,87.1,8.6,58.1,40.0,0,35
1201,Hope College Prep High School    ,0.3,98.8,0.9,0.0,98.2,84.0,10.9,67.6,53.8,0,339
1202,Phoenix Military Academy HS      ,0.8,26.7,71.5,0.2,95.2,95.6,0.0,100.0,56.7,2,501
1203,Spry Community Links High School ,0.0,0.6,99.4,0.0,98.3,89.1,1.7,90.6,44.0,2,179
1204,Chicago Academy High School      ,22.8,15.6,54.6,4.9,85.6,91.5,1.3,87.0,74.3,1,527
1205,Bowen High School                ,0.4,81.3,17.4,0.0,96.3,88.3,9.0,60.6,48.6,0,534
1206,North-Grand High School          ,0.6,9.2,89.4,0.1,97.8,87.9,1.8,85.6,57.6,2,924
1207,Raby High School                 ,0.0,98.7,1.1,0.0,98.9,86.9,2.0,94.0,65.2,0,451
1208,Clark Acad Prep Magnet High Schl ,0.0,99.2,0.8,0.0,98.4,90.8,2.6,95.9,68.5,0,492
1209,Rickover Naval Academy High Schl ,9.2,10.5,74.3,4.2,86.8,92.9,0.4,90.5,71.4,2,552
1210,Uplift Community High School     ,1.0,86.7,7.8,1.7,95.6,90.2,0.7,89.3,70.1,0,293
1211,World Language High School       ,0.6,10.5,88.9,0.0,99.7,92.5,0.6,90.3,58.1,2,343
1212,Douglass Academy High School     ,0.0,97.2,2.1,0.0,95.8,78.8,19.2,45.9,34.9,0,428
1213,Devry Advantage Academy High Schl,7.1,32.7,53.1,4.6,77.0,95.3,0.0,100.0,72.5,1,196
1214,Lindblom Math & Science Acad HS  ,1.8,70.2,24.8,1.6,67.2,93.3,0.0,97.2,87.8,0,1129
1215,Bronzeville Scholastic HS        ,0.0,98.1,1.7,0.0,95.6,88.1,0.0,97.3,73.1,0,474
1216,School of Social Justice HS      ,0.3,10.7,88.3,0.0,97.5,92.0,0.0,84.1,59.4,2,326
1217,Multicultural Acad of Scholarshp ,0.8,12.8,85.7,0.0,98.1,88.9,1.5,85.3,46.7,2,266
1218,Infinity Math  Science & Tech HS ,0.6,14.1,85.0,0.0,96.6,92.0,6.1,79.8,57.5,2,505
1219,Austin Bus & Entrepreneurship HS ,0.0,98.7,1.3,0.0,98.7,87.5,0.7,95.3,67.2,0,149
1220,Austin Polytechnical Academy HS  ,0.0,98.1,1.3,0.0,98.1,85.9,3.2,94.3,54.2,0,158
1221,Collins Academy High School      ,0.0,97.8,1.2,0.2,98.5,79.4,6.1,66.2,39.4,0,409
1222,Team Englewood Comm Acad HS      ,0.0,98.6,1.4,0.0,95.8,87.9,1.1,90.9,58.1,0,360
1223,VOISE Academy High School        ,0.0,90.0,8.4,0.0,98.4,85.2,1.6,96.7,59.5,0,251
1224,Community Services West High Sch ,0.0,98.4,0.8,0.0,80.0,90.2,1.6,55.9,29.6,0,125
1225,Orr Academy High School          ,0.5,84.4,14.7,0.0,95.8,76.9,18.3,40.0,41.4,0,763
1226,Air Force Acad High School       ,10.8,40.5,43.0,4.3,88.1,92.1,0.3,92.8,59.2,1,370
1227,Alcott Humanities High School    ,9.8,25.4,61.0,1.5,81.8,91.4,1.1,95.9,61.0,1,264
1228,Chicago Technology Academy HS    ,2.7,71.0,23.4,1.9,93.6,87.9,1.3,84.5,57.4,0,376
1229,Chicago HS for the Arts          ,15.5,54.2,24.1,2.1,56.8,97.2,0.9,89.0,74.2,1,576
1230,Ogden Int High School            ,28.0,33.5,27.3,6.9,51.0,92.4,0.2,92.4,67.5,1,737
